data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
25/04/2026;18:40:00;PARNAIBA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;-2,901921;-41,740649
25/04/2026;19:20:00;IGARASSU;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;-7,81981982;-34,91931509
25/04/2026;19:20:00;PALHOCA;Acesso irregular;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-27,76762652;-48,63095731
25/04/2026;21:00:00;BRASILIA;Iluminação deficiente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-15,73124;-48,14836
25/04/2026;21:00:00;PETROLINA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-9,31129;-40,57543
25/04/2026;20:00:00;CAMPO GRANDE DO PIAUI;Animais na Pista;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;-7,13297442;-41,03295067
25/04/2026;18:10:00;CAMPOS DOS GOYTACAZES;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-21,660472;-41,311298
25/04/2026;20:20:00;VALE DE SAO DOMINGOS;Falta de acostamento;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;"Reta;Declive";-15,37364655;-59,18646097
25/04/2026;02:00:00;IBIRAMA;Velocidade Incompatível;Colisão com objeto;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Simples;Curva;-27,08310305;-49,51065414
25/04/2026;20:30:00;DUQUE DE CAXIAS;Iluminação deficiente;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Reta;Interseção de Vias";-22,68290839;-43,28569646
24/04/2026;01:00:00;FEIRA DE SANTANA;Velocidade Incompatível;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;-12,336615;-38,850598
24/04/2026;11:00:00;CEU AZUL;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;"Aclive;Curva";-25,1740078;-53,8814532
24/04/2026;08:40:00;EXTREMA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Curva;Declive";-22,80834829;-46,27769065
24/04/2026;09:30:00;MAUA DA SERRA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;-23,9504192;-51,11899551
24/04/2026;13:20:00;CASCAVEL;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Curva;Aclive";-24,85642459;-53,3339213
24/04/2026;17:27:00;NOVA SANTA RITA;Acumulo de água sobre o pavimento;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Reta;Declive";-29,840078;-51,29473
24/04/2026;19:00:00;FORMOSA DO RIO PRETO;Acostamento em desnível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;-11,239906;-45,036891
